Time\ number,r2_1_100,r2_1_200,r1_1_300,r1_1_400,Time\ Probability,r2_1_100,r2_1_200,r1_1_300,r1_1_400
383900,918,917,1082.0,918.0,383900,0.00010818829402658634,0.00010828827238010124,9.99990000099999e-06,9.99990000099999e-06
384000,916,916,1084.0,916.0,384000,0.00010838825071362264,0.00010838825071362264,9.99990000099999e-06,9.99990000099999e-06
384100,914,914,1086.0,914.0,384100,0.00010858820732068498,0.00010858820732068498,9.99990000099999e-06,9.99990000099999e-06
384200,917,917,1083.0,917.0,384200,0.00010828827238010124,0.00010828827238010124,9.99990000099999e-06,9.99990000099999e-06
384300,920,920,1080.0,920.0,384300,0.00010798833725957598,0.00010798833725957598,9.99990000099999e-06,9.99990000099999e-06
384400,919,919,1080.0,920.0,384400,0.0001080883156530779,0.0001080883156530779,9.99990000099999e-06,9.99990000099999e-06
384500,910,910,1090.0,910.0,384500,0.00010898812029488787,0.00010898812029488787,9.99990000099999e-06,9.99990000099999e-06
384600,914,914,1086.0,914.0,384600,0.00010858820732068498,0.00010858820732068498,9.99990000099999e-06,9.99990000099999e-06
384700,918,918,1082.0,918.0,384700,0.00010818829402658634,0.00010818829402658634,9.99990000099999e-06,9.99990000099999e-06
384800,916,916,1084.0,916.0,384800,0.00010838825071362264,0.00010838825071362264,9.99990000099999e-06,9.99990000099999e-06
384900,917,917,1083.0,917.0,384900,0.00010828827238010124,0.00010828827238010124,9.99990000099999e-06,9.99990000099999e-06
385000,914,914,1086.0,914.0,385000,0.00010858820732068498,0.00010858820732068498,9.99990000099999e-06,9.99990000099999e-06
385100,917,917,1082.0,917.0,385100,0.00010828827238010124,0.00010828827238010124,9.99990000099999e-06,9.99990000099999e-06
385200,922,922,1078.0,922.0,385200,0.0001077883804125915,0.0001077883804125915,9.99990000099999e-06,9.99990000099999e-06
385300,928,928,1072.0,928.0,385300,0.00010718850939179321,0.00010718850939179321,9.99990000099999e-06,9.99990000099999e-06
385400,940,940,1060.0,940.0,385400,0.00010598876519088978,0.00010598876519088978,9.99990000099999e-06,9.99990000099999e-06
385500,945,945,1055.0,945.0,385500,0.0001054888709241175,0.0001054888709241175,9.99990000099999e-06,9.99990000099999e-06
